SMOD_ID,JRC_NAME_MAIN,ISO,CNTRY_NAME,minx,miny,maxx,maxy
30_2905,Qidong,CHN,China,121.59604211700002,31.784372958000063,121.72760097200012,31.879027481000037
30_183,Resistencia,ARG,Argentina,-59.05842180299999,-27.518117657999937,-58.91132586599997,-27.40807620199996
30_12277,Stockton,USA,United States,-121.39941274499995,37.88809015600003,-121.19775367699998,38.05625808800005
30_5164,Blitar,IDN,Indonesia,112.10148200300011,-8.162967500999969,112.262114612,-8.008712461999949
30_3349,Ibagué,COL,Colombia,-75.26168501299998,4.417549999000073,-75.16172262099997,4.458034937000036
30_1077,Potengi,BRA,Brazil,-35.29237333999998,-5.78646052199997,-35.200741893999975,-5.713530626999955
30_3455,Bonn,DEU,Germany,7.020134723000069,50.64644914300004,7.269361099000037,50.80970599500006
30_7673,Arrah,IND,India,84.63385722000004,25.535135427000057,84.70548360700008,25.610843682000052
30_9396,Mazatlán,MEX,Mexico,-106.47784775799994,23.180135476000032,-106.35617411999999,23.288725010000064
30_741,Porto Velho,BRA,Brazil,-63.927656439999964,-8.820842371999959,-63.79039679899995,-8.723351932999947
30_10627,Sadiqabad,PAK,Pakistan,70.03538587000008,28.264122977000056,70.16144763600005,28.34052958600006
30_1205,Yining/Qulja,CHN,China,81.23194174300005,43.88638113700006,81.37973878000008,43.97793307000006
30_10781,Piura,PER,Peru,-80.69471919299997,-5.235520626999971,-80.58404788799999,-5.162616467999953
30_12039,Elazig,TUR,Turkey,39.13502575500007,38.63267351400003,39.27517544600005,38.694852179000065
30_3536,Djibouti,DJI,Djibouti,43.10573833400008,11.538686946000041,43.16946920600003,11.62835494500007
30_3792,Mallawi,EGY,Egypt,30.81467599000007,27.653610636000053,30.91568823800003,27.79764169300006
30_12317,Boise,USA,United States,-116.46769807299995,43.53895956900004,-116.11192245599995,43.712576572000046
30_12812,My Tho,VNM,Vietnam,106.26091151400004,10.211205932000041,106.50962083800005,10.430941459000053
30_3965,Tallinn,EST,Estonia,24.611424283000076,59.35580007500005,24.910908678000055,59.48062056500004
30_8486,Hatisala,IND,India,88.49090302400003,22.404268195000043,88.66133537000007,22.53763168300003
30_6868,Anantapur,IND,India,77.54449983900008,14.62690036600003,77.63077272700008,14.708808872000077
30_1992,Changge,CHN,China,113.64814436900008,34.153445660000045,113.83447079400003,34.25775946300007
30_1442,Zigong,CHN,China,104.64596180200004,29.318695956000056,104.83622932300005,29.40391990300003
30_2404,Xinxing,CHN,China,130.8017483420001,45.75546090900008,130.94037536000008,45.85739526100008
30_7099,Nagercoil,IND,India,77.37434749900007,8.138609938000059,77.48285201400006,8.203564705000076
30_6743,Nizamabad,IND,India,78.03219520300007,18.639056975000074,78.14423043900007,18.721624116000044
30_6855,Rae Bareli,IND,India,81.21671798700004,26.200312619000044,81.29872731300003,26.26775211300003
30_6133,Sambhal,IND,India,78.53812404700005,28.53588570900007,78.60695101200008,28.612366708000025
30_1676,Changping,CHN,China,116.14467997400004,40.15753397100008,116.27838788600002,40.25605739900004
30_12792,Long Xuyen,VNM,Vietnam,105.39249118900005,10.219343241000047,105.56881631300007,10.414662734000046
30_2063,Heze,CHN,China,115.36898444400003,35.18134196200003,115.59237843100004,35.294881289000045
30_6449,Parbhani,IND,India,76.73976028200008,19.242153897000037,76.82247627200007,19.291760708000027
30_12199,Mykolaiv,UKR,Ukraine,31.91844363100006,46.908620202000066,32.09915042700004,47.04873401900005
30_9089,Aktobe,KAZ,Kazakhstan,57.08715423800004,50.23443365400004,57.346602965000045,50.35885719100003
30_3473,Bremen,DEU,Germany,8.67706058400006,53.02032713600005,8.983781726000075,53.15739954000003
30_6138,Ichalkaranji,IND,India,74.41395535500004,16.66185870700002,74.49327332500008,16.735857079000027
30_11167,Kaliningrad,RUS,Russia,20.414952907000043,54.65621407100008,20.59773141100004,54.765457455000046
30_3344,Manizales,COL,Colombia,-75.53603110799997,5.024917333000076,-75.42192916299996,5.089715519000038
30_13029,Daveyton,ZAF,South Africa,28.36518171700004,-26.166598431999944,28.497478578000027,-26.082329131999927
30_1747,Daqing,CHN,China,125.044444397,46.50770947600006,125.21629467100001,46.63811742400003
30_11248,Stavropol,RUS,Russia,41.891998115000035,44.979308400000036,42.07946545300007,45.154521471000066
30_2784,Taixing,CHN,China,119.95467645200006,32.145979332000024,120.09543429700011,32.21491794100007
30_6657,Unnao,IND,India,80.41200627900008,26.461723652000046,80.55898148000006,26.571414551000032
30_12689,Guarenas,VEN,Venezuela,-66.65141125999997,10.447220511000069,-66.49694982399996,10.496059625000044
30_7485,Uchkagaon,IND,India,84.05867797700006,26.284614308000073,84.28524990500006,26.453287535000072
30_6527,Hardoi,IND,India,80.10404798500008,27.365763636000054,80.16848347100006,27.416539452000052
30_2736,Jingdezhen,CHN,China,117.12048146300003,29.233498948000033,117.3329431950001,29.335738587000037
30_8906,Florence,ITA,Italy,11.110612409000055,43.740006890000075,11.325186981000058,43.84062482500008
30_2836,惠东县,CHN,China,114.65452920000007,22.938017719000072,114.76658237100003,23.038184296000054
30_922,Americana,BRA,Brazil,-47.437227261999965,-22.779478206999954,-47.27629628599993,-22.696064528999955
30_1159,Basel,CHE,Switzerland,7.521196122000049,47.460525870000026,7.711544541000023,47.648098754000046
30_835,São José Do Rio Preto,BRA,Brazil,-49.44991764599996,-20.84909890499995,-49.328457199999946,-20.74121849499994
30_11362,Irkutsk,RUS,Russia,104.17959015800005,52.21092578900004,104.40024231500007,52.33733813400005
30_9547,Skopje,MKD,Macedonia,21.301681634000033,41.94841856000005,21.523455451000075,42.06605503000003
30_656,Feni,BGD,Bangladesh,91.34914319000006,22.946363855000072,91.45762949700008,23.07157944200003
30_10078,Owerri,NGA,Nigeria,6.994133494000039,5.446151093000026,7.13427593800003,5.5433746250000695
30_2769,Dongtai,CHN,China,120.26365001300007,32.810339304000024,120.36403440600009,32.88811332700004
30_10706,Jhelum,PAK,Pakistan,73.66599793300003,32.90539993800007,73.76613295500005,33.00049908900007
30_9949,Ilesa,NGA,Nigeria,4.705195505000063,7.586653830000046,4.805688170000053,7.667806365000047
30_11237,Penza,RUS,Russia,44.864233193000075,53.11821963600005,45.08491634400008,53.25540679300008
30_10058,Lokoja,NGA,Nigeria,6.693350980000048,7.724616662000074,6.753884815000049,7.822012559000029
30_7310,Azamgarh,IND,India,83.13724717300005,26.014930269000047,83.23365531900004,26.107607501000075
30_3026,Changle,CHN,China,119.33376087200008,25.87175637100006,119.56252302900009,26.031778606000046
